Statistical unit,Unit of measure,Level of education,Orientation,Sex,Age,Grade,Type of institution,Level of educational attainment,Wealth quintile,Location,Type of education,Field of education,School subject,Infrastructure,Socioeconomic background,Teaching experience,Type of contract,Country / region of origin,Destination region,Immigration status,Reference area,Time Period,2012,2013,2014,2015,2016,2017,2018
CR:Completion rate,GLPIA:Adjusted location parity index,L2:Lower secondary education,_T:Total,M:Male,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q3:Middle,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GLPIA:L2:_T:M:_T:GLAST:INST_T:_Z:Q3:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1,,,,,
FOSGP:Distribution of graduates in tertiary education by field of education,PT:Percentage,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,"ISC_F03:Social sciences, journalism and information",_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FOSGP:PT:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F03:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,6.56660,,,5.16207,5.12068,20.01925,
NAR:Net attendance rate,PT:Percentage,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,90.32825,,,,,
NAR:Net attendance rate,GLPIA:Adjusted location parity index,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:GLPIA:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
STU:Students,PER:Number of persons,L3:Upper secondary education,C4:General programmes,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L3:C4:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,652962,604746,561276,462813,431501,412459,
RPTR:Repeaters,PER:Number of persons,L2:Lower secondary education,C4:General programmes,_T:Total,_T:Total,G4:Grade 4,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,RPTR:PER:L2:C4:_T:_T:G4:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,28,18,22,23,66,10,
SR:Survival rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,_T:Total,G2:Grade 2,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SR:PT:L1:_T:F:_T:G2:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,99.56419,99.59533,87.67382,98.57865,99.48229,,
NAR:Net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,67.96373,,,,,
GER:Gross enrolment ratio,PT:Percentage,L1_2:Primary and lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GER:PT:L1_2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,98.84533,99.08363,98.96119,,,,
STU:Students,PER:Number of persons,L1:Primary education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,ADULT:Adult education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L1:_T:F:_T:_T:INST_T:_Z:_Z:_T:ADULT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,0,0,0,0,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L1:Primary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L1:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,9.25004,,,,,
OFST:Out-of-school children,PER:Number of persons,L1_2:Primary and lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,OFST:PER:L1_2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,213864,185381,177732,,,,
FEP:Percentage of female students,PT:Percentage,L5T8:Tertiary education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,ISC_F02:Arts and humanities,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FEP:PT:L5T8:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F02:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,77.69165,77.36426,77.13724,76.42355,77.62427,
ROFST_PHH:Rate of out-of-school children (household survey data),GPIA:Adjusted gender parity index,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:GPIA:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
ROFST:Rate of out-of-school children,GPIA:Adjusted gender parity index,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST:GPIA:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.96902,0.96095,0.80640,,,,
SCH:School,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PUB:Public institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,ADAPT_INFR_MAT_DIS:Adapted infrastructure and materials for students with disabilities,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SCH:PT:L2:_T:_T:_T:_T:INST_PUB:_Z:_Z:_T:_T:_T:_Z:ADAPT_INFR_MAT_DIS:_Z:_Z:_Z:W00:W00:_Z:UA,,,,,78.59043,77.27487,
NART:Total net attendance rate,GPIA:Adjusted gender parity index,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:GPIA:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.98673,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,10.23742,,,,,
NAR:Net attendance rate,GLPIA:Adjusted location parity index,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:GLPIA:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.97060,,,,,
GER:Gross enrolment ratio,PT:Percentage,L01:Early childhood educational development programmes,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GER:PT:L01:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,,,,,,
TRTEACH:Trained teachers,PER:Number of persons,L2_3:Secondary education,C5:Vocational programmes,M:Male,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TRTEACH:PER:L2_3:C5:M:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,NaN,NaN,NaN,NaN,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,F1:Africa,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:F1:W00:_Z:UA,1495,1652,9806,10014,10692,11663,
FOSEP:Distribution of students in tertiary education by field of education,PT:Percentage,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,ISC_F02:Arts and humanities,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FOSEP:PT:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F02:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,8.81685,9.04420,8.43520,
FEP:Percentage of female students,PT:Percentage,L7:Master?s or equivalent level,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,ISC_F02:Arts and humanities,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FEP:PT:L7:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F02:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,81.40320,79.68498,79.21781,77.44697,77.72766,
NART:Total net attendance rate,GLPIA:Adjusted location parity index,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:GLPIA:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.02920,,,,,
TEACH:Teachers,PER:Number of persons,L3:Upper secondary education,_T:Total,M:Male,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEACH:PER:L3:_T:M:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,NaN,NaN,NaN,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,VE:Venezuela (Bolivarian Republic of),W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:VE:W00:_Z:UA,0,0,4,3,2,2,
NAR:Net attendance rate,PT:Percentage,L2:Lower secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L2:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,93.20335,,,,,
NERT:Total net enrolment rate,GPI:Gender parity index,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NERT:GPI:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1.03566,1.02764,1.03020,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),GPIA:Adjusted gender parity index,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:GPIA:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,2,,,,,
OFST:Out-of-school children,PER:Number of persons,L1:Primary education,_T:Total,M:Male,ISC1_IN_ISC02:Primary school age in pre-primary education,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,OFST:PER:L1:_T:M:ISC1_IN_ISC02:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,20008,25477,24285,
GAR:Gross attendance ratio,PT:Percentage,L5T8:Tertiary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GAR:PT:L5T8:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
FEP:Percentage of female students,PT:Percentage,L8:Doctoral or equivalent level,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,ISC_F10:Services,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FEP:PT:L8:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F10:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,34.48845,35.62232,33.99247,29.67626,31.64835,
NARA:Adjusted net attendance rate,GPIA:Adjusted gender parity index,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:GPIA:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.01825,,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,PH:Philippines,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:PH:W00:_Z:UA,0,0,0,0,0,1,
MSEP:Inbound mobility rate,PT:Percentage,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,MSEP:PT:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1.82389,2.25273,2.79759,3.24194,3.20431,3.16490,
QTEACH:Qualified teachers,PER:Number of persons,L02:Pre-primary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,QTEACH:PER:L02:_T:_T:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,,NaN,,
NARA:Adjusted net attendance rate,GLPIA:Adjusted location parity index,L1:Primary education,_T:Total,M:Male,UNDER1_AGE:One year younger than official entry age,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:GLPIA:L1:_T:M:UNDER1_AGE:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
ILLPOP:Illiterate population,PER:Number of persons,_Z:Not applicable,_Z:Not applicable,_T:Total,Y_GE15:15 years and over,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ILLPOP:PER:_Z:_Z:_T:Y_GE15:_Z:_Z:_Z:_Z:_T:_Z:_Z:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,9938,,,,,,
DR:Drop-out rate,PT:Percentage,L2:Lower secondary education,C4:General programmes,M:Male,_T:Total,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,DR:PT:L2:C4:M:_T:G1:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0.42176,11.60862,1.40576,0.63987,,
STU:Students,PER:Number of persons,L1:Primary education,_T:Total,M:Male,_T:Total,G4:Grade 4,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L1:_T:M:_T:G4:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,191205,202924,207285,180503,188659,196881,
TRTEACH:Trained teachers,PER:Number of persons,L0:Early childhood education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TRTEACH:PER:L0:_T:F:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,55289,78651,80785,
SAP:School-age population,PER:Number of persons,_T:Total,_T:Total,_T:Total,Y3T7:3-7 years,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SAP:PER:_T:_T:_T:Y3T7:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,2139464,2256192,2373292,,,,
DR:Drop-out rate,PT:Percentage,L2:Lower secondary education,C4:General programmes,F:Female,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,DR:PT:L2:C4:F:_T:GLAST:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1.45237,0.89293,37.57981,4.81402,1.65351,,
STU:Students,PER:Number of persons,L7:Master?s or equivalent level,_T:Total,F:Female,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L7:_T:F:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,26911,22302,17300,15749,17961,
NAR:Net attendance rate,PT:Percentage,L1:Primary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L1:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,84.10449,,,,,
